% Model:              model.mph
% Version:            COMSOL 5.2.1.152
% Date:               Mar 27 2018, 09:32
% Dimension:          3
% Nodes:              40224
% Expressions:        1
% Description:        Magnetic vector potential, phi component
% Length unit:        m
% rev1x                   rev1y                    rev1z                    comp1.Aphi (Wb/m)
1.2119383964890748E-25    -1.979245603439087E-9    0.044715064198606096     0
2.500551085442963E-10     -1.9633862588456344E-9   0.044715064198606096     0
4.961029224639465E-10     -1.9160623813059134E-9   0.044715064198606096     0
7.342003666189721E-10     -1.83803236652392E-9     0.044715064198606096     0
9.605317756800026E-10     -1.730546695886007E-9    0.044715064198606096     0
1.171470042629715E-9      -1.5953278966889816E-9   0.044715064198606096     0
1.3636347454955258E-9     -1.4345429375275974E-9   0.044715064198606096     0
1.5339463207951154E-9     -1.2507685012231817E-9   0.044715064198606096     0
1.6796754155303145E-9     -1.0469496918171481E-9   0.044715064198606096     0
1.7984866268317849E-9     -8.263528373764949E-10   0.044715064198606096     0
1.8884759282984365E-9     -5.925131449768133E-10   0.044715064198606096     0
1.9482011832503097E-9     -3.4917804672551846E-10  0.044715064198606096     0
1.9767052559003476E-9     -1.0024714474186657E-10  0.044715064198606096     0
1.973531350073595E-9      1.5029028248575646E-10   0.044715064198606096     0
1.938730329660947E-9      3.984192108642751E-10    0.044715064198606096     0
1.872859903492443E-9      6.401632140503175E-10    0.044715064198606096     0
1.776975687693044E-9      8.716481882507349E-10    0.044715064198606096     0
1.6526142887524082E-9     1.0891644372381642E-9    0.044715064198606096     0
1.5017686784134018E-9     1.2892261226291609E-9    0.044715064198606096     0
1.3268562550126623E-9     1.4686271266957887E-9    0.044715064198606096     0
1.1306801031108622E-9     1.6244924324730373E-9    0.044715064198606096     0
9.163840722521122E-10     1.7543241977626575E-9    0.044715064198606096     0
6.874023947444105E-10     1.8560417846677388E-9    0.044715064198606096     0
4.474046498687454E-10     1.928015103158889E-9     0.044715064198606096     0
2.0023695650093603E-10    1.9690907343198275E-9    0.044715064198606096     0
-5.013966342755528E-11    1.978610414630512E-9     0.044715064198606096     0
-2.9971276286448503E-10   1.9564215850652162E-9    0.044715064198606096     0
-5.444827716924841E-10    1.9028798359494554E-9    0.044715064198606096     0
-7.805270924234971E-10    1.8188432083953463E-9    0.044715064198606096     0
-1.0040629623571344E-9    1.7056584436385764E-9    0.044715064198606096     0
-1.2115080747962244E-9    1.5651394006402438E-9    0.044715064198606096     0
-1.3995379878254386E-9    1.3995379878254388E-9    0.044715064198606096     0
2.293194168325888E-25     -3.7450702846281866E-9   0.03999999999999965      0
4.731469176445441E-10     -3.7150616995049373E-9   0.03999999999999965      0
9.387113503289422E-10     -3.6255168510942904E-9   0.03999999999999965      0
1.3892323273120537E-9     -3.477870753428911E-9    0.03999999999999965      0
1.817489958946893E-9      -3.274489530588282E-9    0.03999999999999965      0
2.2166211400755454E-9     -3.0186324980320537E-9   0.03999999999999965      0
2.580229535722186E-9      -2.714399929964617E-9    0.03999999999999965      0
2.9024880864924564E-9     -2.3666673497926163E-9   0.03999999999999965      0
3.178232390963943E-9      -1.981007396713264E-9    0.03999999999999965      0
3.403043468554654E-9      -1.5636005205718489E-9   0.03999999999999965      0
3.573318576541057E-9      -1.1211359361610161E-9   0.03999999999999965      0
3.6863289463372315E-9     -6.607044242331683E-10   0.03999999999999965      0
3.740263513773963E-9      -1.896846971589797E-10   0.03999999999999965      0
3.734257942571821E-9      2.843748497042473E-10    0.03999999999999965      0
3.66840847588831E-9       7.538771059236707E-10    0.03999999999999965      0
3.5437703939591055E-9     1.2112979945925652E-9    0.03999999999999965      0
3.3623411025506752E-9     1.6493070505225387E-9    0.03999999999999965      0
3.1270281232427486E-9     2.0608848956829145E-9    0.03999999999999965      0
2.841602498517039E-9      2.439435729267481E-9     0.03999999999999965      0
2.510638358365762E-9      2.7788930296626242E-9    0.03999999999999965      0
2.1394396169040894E-9     3.0738167743745446E-9    0.03999999999999965      0
1.7339549737206603E-9     3.319480619903426E-9     0.03999999999999965      0
1.3006825821244145E-9     3.5119476444507556E-9    0.03999999999999965      0
8.465659120406799E-10     3.648133439633997E-9     0.03999999999999965      0
